[2026-02-21T19:56:51.763Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /role liste | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Liste consultée — 1 rôle(s)
[2026-02-21T20:02:27.350Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /role liste | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Liste consultée — 1 rôle(s)
[2026-02-21T20:03:28.986Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /role modifier | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Entrée modifiée [ff90fa57] : description → Rôle pour les pings des différents tests
[2026-02-21T20:04:35.373Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /deployer | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Message déployé dans #bienvenue (1474859226127138837)
[2026-02-21T20:23:50.392Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /role ajouter | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Rôle ajouté : Membre (1474862071396171991) [64d0dad3]
[2026-02-21T20:24:03.736Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /deployer | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Message mis à jour dans #bienvenue (1474859226127138837)
[2026-02-21T20:24:23.632Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /role liste | Guild: Tests (1474820217627480080) | Channel: 1474859226127138837 | Detail: Liste consultée — 2 rôle(s)
[2026-02-21T20:25:18.270Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /role modifier | Guild: Tests (1474820217627480080) | Channel: 1474859226127138837 | Detail: Entrée modifiée [ff90fa57] : description → Ping des différents tests, label → Ping tests
[2026-02-21T20:25:23.140Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /deployer | Guild: Tests (1474820217627480080) | Channel: 1474859226127138837 | Detail: Message mis à jour dans #bienvenue (1474859226127138837)
[2026-02-21T20:39:07.890Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474859226127138837 | Detail: Menu config ouvert
[2026-02-21T20:39:26.274Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /undefined | Guild: Tests (1474820217627480080) | Channel: 1474859226127138837 | Detail: Salon de logs défini : <#1474857686704193546>
