[2026-02-22T00:01:40.383Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-22T00:01:43.274Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs visuels activés
[2026-02-22T00:03:04.923Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-22T00:10:00.791Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-22T00:10:15.302Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle modifier | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474831860231180328 | Detail: Rôle modifié [ff90fa57] → 1474840300634771516
[2026-02-22T00:10:47.738Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle modifier | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474831860231180328 | Detail: Textes modifiés [ff90fa57] : description → Ping des différentes bêta tests, label → Ping bêta tests
[2026-02-22T00:11:04.195Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474831860231180328 | Detail: Mis à jour dans <#1474859226127138837>
[2026-02-22T00:29:16.487Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Menu config ouvert
[2026-02-22T00:29:43.399Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Déployé dans <#1474924635475935262>
[2026-02-22T00:29:44.382Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Mis à jour dans <#1474924635475935262>
[2026-02-22T00:32:13.681Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Menu config ouvert
[2026-02-22T00:37:32.437Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474857686704193546 | Detail: Menu config ouvert
[2026-02-22T00:38:07.578Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474857686704193546 | Detail: Menu config ouvert
[2026-02-22T00:45:20.617Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Menu config ouvert
[2026-02-22T00:46:02.761Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle ajouter | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Rôle ajouté : Ping bêta tests (1474840300634771516) [fe150e90]
[2026-02-22T00:46:22.231Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle ajouter | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Rôle ajouté : Membre (1474862071396171991) [132de98e]
[2026-02-22T00:46:34.098Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Déployé dans <#1474924508480667709>
[2026-02-22T00:46:48.338Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Déployé dans <#1474924635475935262>
[2026-02-22T00:49:37.887Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Couleur mise à jour : `#FF5252`.
[2026-02-22T00:49:51.766Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Mis à jour dans <#1474924635475935262>
[2026-02-22T00:50:06.542Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config admin-retirer | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Admin retiré : user:598076783186935808
[2026-02-22T00:50:19.085Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config admin-retirer | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Admin retiré : role:1474861822128554016
[2026-02-22T00:50:19.100Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config admin-retirer | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Admin retiré : role:1474861822128554016
[2026-02-22T00:50:30.857Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config admin-ajouter | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Admin ajouté : rôle 1474861822128554016
[2026-02-22T00:55:48.836Z] [ERROR] User: bryan_drouet (598076783186935808) | Cmd: /rgpd | Guild: undefined (null) | Channel: 1474892251938160703 | Detail: Cannot read properties of null (reading 'id')
[2026-02-22T00:55:54.403Z] [ERROR] User: bryan_drouet (598076783186935808) | Cmd: /infos | Guild: undefined (null) | Channel: 1474892251938160703 | Detail: Cannot read properties of null (reading 'id')
[2026-02-22T10:30:53.706Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Support Bryan_Drouet's bot (1474820217627480080) | Channel: 1474925815912202352 | Detail: Menu config ouvert
